shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_hf_isolation_check-KXNBAGAME-26FEB26CHAIND-CHA,2026-02-27T01:58:57.051720+00:00,,KXNBAGAME-26FEB26CHAIND-CHA,KXNBAGAME-26FEB26CHAIND,Sports,yes,post_yes,maker,92,,1,0.000000,0.002500,,,,open,,,,"p_true=0.500000;reprice:50->92@2026-02-27T01:58:57.051720+00:00;rev=1;reprice_from=50;mu=0.9950;sigma=0.0000;p_true=0.971151;forecast_updated=2026-02-27T01:58:57.361473+00:00;station_id=;latest_eval=ev=0.011676,mu=0.9950,sigma=0.0000,p_true=0.971151,forecast_updated=2026-02-27T01:59:00.072125+00:00,station_id=,model=sports,econ_asof="
shadow-26FEB26_hf_isolation_check-KXNBAGAME-26FEB26MIAPHI-MIA,2026-02-27T01:58:57.365029+00:00,,KXNBAGAME-26FEB26MIAPHI-MIA,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,31,,1,0.000000,0.002500,,,,open,,,,"p_true=0.500000;reprice:50->31@2026-02-27T01:58:57.365029+00:00;rev=1;reprice_from=50;mu=0.3550;sigma=0.0000;p_true=0.368172;forecast_updated=2026-02-27T01:58:57.682570+00:00;station_id=;latest_eval=ev=0.013361,mu=0.3550,sigma=0.0000,p_true=0.368172,forecast_updated=2026-02-27T01:59:00.407807+00:00,station_id=,model=sports,econ_asof="
