shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_freshsports1-KXNHLGAME-26FEB26PHINYR-NYR,2026-02-26T23:04:55.482462+00:00,,KXNHLGAME-26FEB26PHINYR-NYR,KXNHLGAME-26FEB26PHINYR,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-26T23:04:58.838314+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:sports_ev_below_min:-0.009280<0.000000;station_id=None
shadow-26FEB26_freshsports1-KXNBAGAME-26FEB26CHAIND-CHA,2026-02-26T23:04:58.098014+00:00,,KXNBAGAME-26FEB26CHAIND-CHA,KXNBAGAME-26FEB26CHAIND,Sports,yes,post_yes,maker,86,86,1,0.000000,0.002500,,,,filled,,,,"p_true=0.500000;reprice:50->86@2026-02-26T23:04:58.098014+00:00;rev=1;reprice_from=50;mu=0.8650;sigma=0.0000;p_true=0.885000;forecast_updated=2026-02-26T23:04:58.443320+00:00;station_id=;latest_eval=ev=0.014400,mu=0.8650,sigma=0.0000,p_true=0.885000,forecast_updated=2026-02-26T23:05:20.544825+00:00,station_id=,model=sports,econ_asof=;fill_trade_id=ccf73ec7-a883-6996-8710-112099989a7b;fill_count_seen=1"
shadow-26FEB26_freshsports1-KXNBAGAME-26FEB26MIAPHI-MIA,2026-02-26T23:04:58.456284+00:00,,KXNBAGAME-26FEB26MIAPHI-MIA,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,44,,1,0.000000,0.002500,,,,open,,,,"p_true=0.500000;reprice:50->44@2026-02-26T23:04:58.456284+00:00;rev=1;reprice_from=50;mu=0.4400;sigma=0.0000;p_true=0.467000;forecast_updated=2026-02-26T23:04:58.827321+00:00;station_id=;latest_eval=ev=0.015435,mu=0.4400,sigma=0.0000,p_true=0.467000,forecast_updated=2026-02-26T23:05:23.911209+00:00,station_id=,model=sports,econ_asof="
