shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_freshsports2-KXNBAGAME-26FEB26MIAPHI-MIA,2026-02-27T00:16:30.597036+00:00,,KXNBAGAME-26FEB26MIAPHI-MIA,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,37,37,1,0.000000,0.002500,,,,filled,,,,"p_true=0.500000;reprice:50->39@2026-02-26T23:44:57.192624+00:00;rev=1;reprice_from=50;mu=0.4450;sigma=0.0000;p_true=0.445001;forecast_updated=2026-02-26T23:44:57.192873+00:00;station_id=;reprice:39->38@2026-02-27T00:15:13.332550+00:00;rev=2;reprice_from=39;mu=0.4350;sigma=0.0000;p_true=0.435911;forecast_updated=2026-02-27T00:15:13.332648+00:00;station_id=;latest_eval=ev=0.040583,mu=0.3750,sigma=0.0000,p_true=0.435911,forecast_updated=2026-02-27T00:16:30.597084+00:00,station_id=,model=sports,econ_asof=;reprice:38->37@2026-02-27T00:16:30.597036+00:00;rev=3;reprice_from=38;mu=0.3750;sigma=0.0000;p_true=0.435911;forecast_updated=2026-02-27T00:16:30.597084+00:00;station_id=;fill_trade_id=d7082f6f-44a5-7115-fc00-a020c0f0d907;fill_count_seen=1"
shadow-26FEB26_freshsports2-KXNBAGAME-26FEB26CHAIND-CHA,2026-02-27T00:27:15.767093+00:00,,KXNBAGAME-26FEB26CHAIND-CHA,KXNBAGAME-26FEB26CHAIND,Sports,yes,post_yes,maker,80,80,1,0.000000,0.002500,,,,filled,,,,"p_true=0.500000;reprice:50->79@2026-02-26T23:44:56.814135+00:00;rev=1;reprice_from=50;mu=0.8550;sigma=0.0000;p_true=0.845823;forecast_updated=2026-02-26T23:44:57.180496+00:00;station_id=;reprice:79->78@2026-02-26T23:54:02.676756+00:00;rev=2;reprice_from=79;mu=0.8350;sigma=0.0000;p_true=0.836631;forecast_updated=2026-02-26T23:54:03.123300+00:00;station_id=;reprice:78->77@2026-02-27T00:12:12.138343+00:00;rev=3;reprice_from=78;mu=0.8150;sigma=0.0000;p_true=0.820648;forecast_updated=2026-02-27T00:12:12.465711+00:00;station_id=;reprice:77->76@2026-02-27T00:14:49.155302+00:00;rev=4;reprice_from=77;mu=0.7650;sigma=0.0000;p_true=0.820648;forecast_updated=2026-02-27T00:14:49.155392+00:00;station_id=;reprice:76->73@2026-02-27T00:15:12.980566+00:00;rev=5;reprice_from=76;mu=0.7650;sigma=0.0000;p_true=0.787925;forecast_updated=2026-02-27T00:15:13.329886+00:00;station_id=;reprice:73->78@2026-02-27T00:24:15.040331+00:00;rev=6;reprice_from=73;mu=0.8550;sigma=0.0000;p_true=0.838191;forecast_updated=2026-02-27T00:24:15.381551+00:00;station_id=;reprice:78->80@2026-02-27T00:27:15.767093+00:00;rev=7;reprice_from=78;mu=0.8700;sigma=0.0000;p_true=0.853264;forecast_updated=2026-02-27T00:27:16.103698+00:00;station_id=;latest_eval=ev=0.032489,mu=0.8050,sigma=0.0000,p_true=0.853264,forecast_updated=2026-02-27T00:29:39.052420+00:00,station_id=,model=sports,econ_asof=;fill_trade_id=3287a4c5-b268-4978-5378-53bcbf913e11;fill_count_seen=1"
shadow-26FEB26_freshsports2-KXNHLGAME-26FEB26PHINYR-NYR,2026-02-27T01:15:37.157876+00:00,,KXNHLGAME-26FEB26PHINYR-NYR,KXNHLGAME-26FEB26PHINYR,Sports,yes,post_yes,maker,50,,1,0.000000,0.002500,,,,closed_unfilled,2026-02-27T01:25:17.369748+00:00,0.000000,0.000000,"p_true=0.500000;reprice:50->51@2026-02-26T23:47:59.341366+00:00;rev=1;reprice_from=50;mu=0.5750;sigma=0.0000;p_true=0.562400;forecast_updated=2026-02-26T23:47:59.709444+00:00;station_id=;reprice:51->50@2026-02-27T01:15:37.157876+00:00;rev=2;reprice_from=51;mu=0.5650;sigma=0.0000;p_true=0.559945;forecast_updated=2026-02-27T01:15:37.496251+00:00;station_id=;latest_eval=ev=0.011944,mu=0.5700,sigma=0.0000,p_true=0.559378,forecast_updated=2026-02-27T01:25:15.098347+00:00,station_id=,model=sports,econ_asof=;edge_gone:liquidity_guard_failed;station_id=None"
