shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26-KXBTC-26FEB2621-B67625,2026-02-27T01:46:52.879092+00:00,,KXBTC-26FEB2621-B67625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,4,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.626643+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B66625,2026-02-27T01:46:52.974985+00:00,,KXBTC-26FEB2621-B66625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,2,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.640171+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B67875,2026-02-27T01:46:53.068938+00:00,,KXBTC-26FEB2621-B67875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.652043+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B66375,2026-02-27T01:46:53.160180+00:00,,KXBTC-26FEB2621-B66375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.663755+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B68125,2026-02-27T01:46:53.260773+00:00,,KXBTC-26FEB2621-B68125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,3,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.675284+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B66125,2026-02-27T01:46:53.355262+00:00,,KXBTC-26FEB2621-B66125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.687161+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B68375,2026-02-27T01:46:53.449755+00:00,,KXBTC-26FEB2621-B68375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.699326+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B65875,2026-02-27T01:46:53.543748+00:00,,KXBTC-26FEB2621-B65875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.709124+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXBTC-26FEB2621-B68625,2026-02-27T01:46:53.634722+00:00,,KXBTC-26FEB2621-B68625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.721782+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXHIGHNY-26FEB26-B36.5,2026-02-27T01:46:55.518849+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734184+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
